dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,False
cutout,None
shape,square
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.32948,0.4542
1,0.53202,0.5323
2,0.65444,0.6239
3,0.72774,0.6591
4,0.78056,0.7155
5,0.81644,0.7543
6,0.84172,0.7873
7,0.863,0.7849
8,0.87974,0.772
9,0.89046,0.7943
10,0.89938,0.793
11,0.90874,0.8091
12,0.91436,0.7562
13,0.91704,0.7995
14,0.92754,0.7927
15,0.92692,0.7989
16,0.932,0.7734
17,0.9301,0.8042
18,0.93112,0.7851
19,0.93524,0.789
20,0.93508,0.7974
21,0.93706,0.7607
22,0.93988,0.7854
23,0.93912,0.7867
24,0.93752,0.8138
25,0.93974,0.7785
26,0.9385,0.7818
27,0.94022,0.7887
28,0.94328,0.7794
29,0.93752,0.8009
30,0.94132,0.7944
31,0.94448,0.8039
32,0.94354,0.7782
33,0.9454,0.82
34,0.94298,0.8075
35,0.94278,0.8102
36,0.9439,0.7795
37,0.94362,0.8049
38,0.94674,0.784
39,0.94572,0.8186
40,0.94356,0.7962
41,0.94402,0.8022
42,0.94572,0.8049
43,0.9471,0.7994
44,0.94488,0.8118
45,0.94862,0.7827
46,0.94436,0.7738
47,0.94836,0.7993
48,0.94524,0.7947
49,0.94814,0.7363
50,0.94806,0.8005
51,0.94732,0.7942
52,0.94534,0.8187
53,0.9477,0.7521
54,0.9471,0.8008
55,0.94526,0.8078
56,0.95184,0.8131
57,0.94826,0.7878
58,0.94982,0.8193
59,0.94704,0.8068
60,0.94988,0.8116
61,0.99054,0.8785
62,0.99988,0.8823
63,1.0,0.8836
64,1.0,0.8831
65,1.0,0.8847
66,1.0,0.8852
67,1.0,0.8869
68,1.0,0.8846
69,1.0,0.8872
70,1.0,0.8861
71,1.0,0.8868
72,1.0,0.8862
73,1.0,0.8868
74,1.0,0.8872
75,1.0,0.8903
76,1.0,0.8888
77,1.0,0.8898
78,1.0,0.8895
79,1.0,0.8898
80,1.0,0.89
81,1.0,0.8914
82,1.0,0.8908
83,1.0,0.8917
84,1.0,0.8903
85,1.0,0.8913
86,1.0,0.8901
87,1.0,0.8918
88,1.0,0.8924
89,1.0,0.8922
90,1.0,0.891
91,1.0,0.8921
92,1.0,0.893
93,1.0,0.8905
94,1.0,0.8924
95,1.0,0.8936
96,1.0,0.8928
97,1.0,0.892
98,1.0,0.8907
99,1.0,0.8916
100,1.0,0.8924
101,1.0,0.8943
102,1.0,0.8892
103,1.0,0.8906
104,0.94996,0.6454
105,0.83042,0.7756
106,0.91762,0.822
107,0.96022,0.8314
108,0.97642,0.8324
109,0.98548,0.8361
110,0.98988,0.842
111,0.98896,0.8485
112,0.99056,0.839
113,0.99234,0.8392
114,0.99442,0.8497
115,0.99358,0.8451
116,0.99134,0.8452
117,0.99392,0.8378
118,0.99372,0.8475
119,0.99032,0.8152
120,0.9853,0.8319
121,0.9972,0.8709
122,1.0,0.8741
123,1.0,0.8746
124,1.0,0.8748
125,1.0,0.8754
126,1.0,0.8765
127,1.0,0.8761
128,1.0,0.8769
129,1.0,0.8771
130,1.0,0.8771
131,1.0,0.8776
132,1.0,0.8775
133,1.0,0.8784
134,1.0,0.8778
135,1.0,0.8776
136,1.0,0.878
137,1.0,0.8778
138,1.0,0.8789
139,1.0,0.8784
140,1.0,0.8788
141,1.0,0.8793
142,1.0,0.8789
143,1.0,0.8796
144,1.0,0.8797
145,1.0,0.8798
146,1.0,0.8806
147,1.0,0.8797
148,1.0,0.8807
149,1.0,0.8808
