dataset,cifar10,
model,resnet18,
batch_size,128,
epochs,150,
learning_rate,0.1,
data_augmentation,TRUE,
cutout,Cutout_Shape,
shape,circle,
n_holes,1,
length,16,
no_cuda,FALSE,
seed,0,
cuda,TRUE,
,,
epoch,train_acc,test_acc
0,0.25424,0.3842
1,0.44878,0.5343
2,0.5705,0.5982
3,0.64514,0.6792
4,0.69148,0.6787
5,0.72574,0.7143
6,0.75984,0.7328
7,0.78612,0.7464
8,0.80286,0.7878
9,0.81404,0.7624
10,0.82278,0.7559
11,0.8289,0.7628
12,0.83438,0.7623
13,0.84004,0.7855
14,0.84492,0.7888
15,0.84898,0.7095
16,0.85098,0.8472
17,0.8565,0.8315
18,0.85716,0.7769
19,0.85642,0.8208
20,0.86264,0.7839
21,0.86304,0.8355
22,0.86492,0.7782
23,0.86668,0.821
24,0.86662,0.8435
25,0.87106,0.8429
26,0.87024,0.8271
27,0.87228,0.8483
28,0.87444,0.8465
29,0.8754,0.8378
30,0.87642,0.8441
31,0.87488,0.8154
32,0.87592,0.849
33,0.8802,0.8496
34,0.88054,0.817
35,0.87804,0.8398
36,0.8799,0.8307
37,0.87926,0.7984
38,0.87888,0.8185
39,0.8807,0.8564
40,0.88024,0.8142
41,0.88118,0.8578
42,0.88294,0.8453
43,0.8825,0.8356
44,0.88384,0.8686
45,0.88592,0.8275
46,0.8831,0.836
47,0.88216,0.8421
48,0.88408,0.8422
49,0.8847,0.8535
50,0.88562,0.8291
51,0.88466,0.8269
52,0.88804,0.8214
53,0.88378,0.8205
54,0.88532,0.8143
55,0.88542,0.8401
56,0.8841,0.8354
57,0.88622,0.8439
58,0.88718,0.8721
59,0.88618,0.8582
60,0.88538,0.8601
61,0.93914,0.9197
62,0.95338,0.9259
63,0.9587,0.9249
64,0.96128,0.9304
65,0.96358,0.9283
66,0.9654,0.9241
67,0.96674,0.9233
68,0.96654,0.9248
69,0.9668,0.9276
70,0.96652,0.9187
71,0.96574,0.9222
72,0.96526,0.9189
73,0.96546,0.9086
74,0.9638,0.9187
75,0.96406,0.9125
76,0.96326,0.9082
77,0.96138,0.924
78,0.96262,0.9193
79,0.96464,0.9224
80,0.96376,0.9108
81,0.96356,0.9187
82,0.96,0.9193
83,0.96322,0.9134
84,0.96306,0.9175
85,0.9631,0.9143
86,0.96354,0.9138
87,0.96296,0.9035
88,0.96406,0.9121
89,0.96392,0.9217
90,0.96468,0.9067
91,0.9648,0.9114
92,0.96416,0.9163
93,0.96388,0.9012
94,0.96546,0.9031
95,0.96516,0.8947
96,0.96468,0.9125
97,0.96512,0.9074
98,0.96556,0.9148
99,0.9644,0.9223
100,0.9665,0.9193
101,0.96512,0.9122
102,0.96486,0.8933
103,0.96422,0.9256
104,0.96642,0.9218
105,0.96632,0.9065
106,0.96704,0.9163
107,0.96576,0.9028
108,0.96648,0.9075
109,0.9656,0.9164
110,0.96704,0.904
111,0.96516,0.916
112,0.96746,0.9138
113,0.96882,0.9168
114,0.9668,0.9173
115,0.96772,0.9206
116,0.96712,0.9096
117,0.9676,0.9091
118,0.96982,0.9157
119,0.96862,0.9161
120,0.96734,0.9143
121,0.988,0.947
122,0.99308,0.9489
123,0.99518,0.9495
124,0.99566,0.9491
125,0.99626,0.9518
126,0.99686,0.9494
127,0.99712,0.951
128,0.99698,0.9515
129,0.99744,0.9506
130,0.99774,0.9519
131,0.99802,0.9506
132,0.9981,0.9521
133,0.99816,0.9525
134,0.99804,0.9524
135,0.99846,0.9524
136,0.99792,0.9502
137,0.99806,0.9513
138,0.99802,0.9516
139,0.9984,0.9514
140,0.99826,0.9522
141,0.99864,0.9519
142,0.99862,0.9516
143,0.99834,0.9512
144,0.9987,0.9507
145,0.9984,0.9504
146,0.99842,0.9496
147,0.99844,0.9496
148,0.99822,0.949
149,0.99838,0.9498
