dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_Shape
shape,triangle
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.24294,0.3928
1,0.43664,0.4775
2,0.5552,0.5958
3,0.64124,0.6416
4,0.6892,0.6807
5,0.72422,0.6728
6,0.75942,0.7389
7,0.78444,0.7933
8,0.80036,0.7305
9,0.80974,0.7847
10,0.81776,0.8017
11,0.82654,0.7769
12,0.83182,0.7914
13,0.83478,0.7328
14,0.84474,0.7884
15,0.84576,0.772
16,0.84994,0.8367
17,0.85114,0.8002
18,0.85478,0.7764
19,0.85746,0.8324
20,0.85838,0.7853
21,0.86002,0.8445
22,0.86302,0.7685
23,0.86476,0.8262
24,0.865,0.8431
25,0.8691,0.8261
26,0.8685,0.8313
27,0.87078,0.8682
28,0.87252,0.828
29,0.8722,0.839
30,0.87276,0.8467
31,0.87402,0.8122
32,0.87486,0.806
33,0.87752,0.8355
34,0.8768,0.8554
35,0.87774,0.8451
36,0.87876,0.809
37,0.87924,0.8471
38,0.87896,0.8174
39,0.88068,0.8415
40,0.87816,0.8301
41,0.88172,0.8476
42,0.88438,0.8574
43,0.88268,0.8379
44,0.8814,0.8351
45,0.88204,0.7839
46,0.88338,0.8346
47,0.88482,0.8468
48,0.88404,0.8463
49,0.884,0.8262
50,0.88528,0.8338
51,0.88572,0.8248
52,0.88462,0.8654
53,0.88476,0.7718
54,0.8873,0.8471
55,0.88534,0.8155
56,0.88244,0.7902
57,0.88744,0.808
58,0.88708,0.838
59,0.88752,0.8509
60,0.88586,0.8578
61,0.93914,0.926
62,0.95444,0.9284
63,0.95934,0.9303
64,0.96352,0.9303
65,0.96456,0.9297
66,0.96572,0.9243
67,0.96826,0.9279
68,0.96632,0.9242
69,0.96854,0.9213
70,0.96622,0.9235
71,0.96576,0.9176
72,0.9658,0.9241
73,0.96538,0.9213
74,0.96394,0.9128
75,0.96384,0.9195
76,0.964,0.9201
77,0.96298,0.9146
78,0.96366,0.9114
79,0.96382,0.9097
80,0.9622,0.9125
81,0.96388,0.9163
82,0.96312,0.916
83,0.9634,0.9111
84,0.96404,0.9028
85,0.96154,0.9024
86,0.96338,0.908
87,0.9656,0.9092
88,0.96302,0.921
89,0.96416,0.9182
90,0.9634,0.9119
91,0.96532,0.9123
92,0.96562,0.9204
93,0.96528,0.9079
94,0.96502,0.9176
95,0.96386,0.9218
96,0.96658,0.906
97,0.96518,0.9089
98,0.96484,0.9153
99,0.96656,0.9111
100,0.96522,0.9245
101,0.96656,0.9139
102,0.96506,0.9138
103,0.96536,0.9183
104,0.96568,0.9128
105,0.96736,0.9037
106,0.96682,0.9157
107,0.96584,0.9013
108,0.96594,0.9166
109,0.9678,0.9086
110,0.96838,0.9079
111,0.9667,0.9151
112,0.96808,0.907
113,0.96846,0.9166
114,0.9674,0.9135
115,0.9668,0.9264
116,0.96716,0.9196
117,0.9696,0.909
118,0.96776,0.9104
119,0.96626,0.9124
120,0.96734,0.9105
121,0.98808,0.9429
122,0.99438,0.9459
123,0.99582,0.948
124,0.99624,0.9476
125,0.997,0.9498
126,0.99724,0.9486
127,0.99746,0.9498
128,0.99772,0.9472
129,0.99766,0.9504
130,0.99816,0.9523
131,0.99828,0.9498
132,0.9983,0.9485
133,0.9984,0.9525
134,0.99834,0.9516
135,0.9983,0.9497
136,0.99848,0.9518
137,0.9982,0.9506
138,0.9989,0.9523
139,0.99846,0.9507
140,0.99864,0.9524
141,0.99854,0.9523
142,0.9986,0.9503
143,0.99888,0.9525
144,0.99898,0.9522
145,0.99848,0.9529
146,0.999,0.9523
147,0.99886,0.9518
148,0.99912,0.9533
149,0.99868,0.953
