dataset,cifar10,
model,resnet18,
batch_size,128,
epochs,150,
learning_rate,0.1,
data_augmentation,TRUE,
cutout,Cutout_intensity_shapes,
shape,circle,
n_holes,1,
length,16,
no_cuda,FALSE,
seed,0,
cuda,TRUE,
,,
epoch,train_acc,test_acc
0,0.28522,0.4199
1,0.47658,0.5436
2,0.57962,0.5954
3,0.65576,0.6724
4,0.70312,0.6943
5,0.75064,0.737
6,0.7799,0.7682
7,0.79666,0.7912
8,0.81168,0.7929
9,0.82294,0.8046
10,0.83102,0.7956
11,0.83648,0.8185
12,0.84244,0.815
13,0.84536,0.7828
14,0.85048,0.8097
15,0.85372,0.7826
16,0.85608,0.8474
17,0.85824,0.8206
18,0.86118,0.7848
19,0.8628,0.8197
20,0.86592,0.8281
21,0.86754,0.7976
22,0.86818,0.82
23,0.86872,0.8336
24,0.87056,0.8281
25,0.87166,0.8116
26,0.87218,0.8342
27,0.87404,0.8455
28,0.87556,0.8039
29,0.87618,0.7875
30,0.87572,0.8361
31,0.87728,0.7918
32,0.88024,0.8375
33,0.87898,0.8637
34,0.8781,0.8454
35,0.87906,0.8332
36,0.87872,0.8253
37,0.87978,0.7896
38,0.88112,0.8102
39,0.88158,0.8369
40,0.88388,0.796
41,0.88436,0.834
42,0.8828,0.8134
43,0.88432,0.8333
44,0.88408,0.8277
45,0.88316,0.7882
46,0.88246,0.8582
47,0.88514,0.8244
48,0.88502,0.8006
49,0.88778,0.8073
50,0.88814,0.8476
51,0.88494,0.8086
52,0.88734,0.8304
53,0.88578,0.8259
54,0.88634,0.8223
55,0.88794,0.8567
56,0.8865,0.8288
57,0.88826,0.8649
58,0.88738,0.8377
59,0.88586,0.8506
60,0.88956,0.8098
61,0.93942,0.9249
62,0.95384,0.9286
63,0.96014,0.9266
64,0.96286,0.9295
65,0.96512,0.9319
66,0.9664,0.9274
67,0.96592,0.9283
68,0.96652,0.9229
69,0.96766,0.9172
70,0.96818,0.9122
71,0.96788,0.9188
72,0.96454,0.9194
73,0.9646,0.922
74,0.9657,0.9192
75,0.9647,0.9168
76,0.9637,0.9217
77,0.9647,0.916
78,0.96384,0.9178
79,0.96402,0.9061
80,0.96098,0.9136
81,0.96476,0.9206
82,0.96436,0.9149
83,0.963,0.9115
84,0.96202,0.8927
85,0.96216,0.92
86,0.96414,0.9037
87,0.96386,0.917
88,0.9663,0.9161
89,0.96524,0.9182
90,0.96548,0.9121
91,0.96414,0.9187
92,0.96476,0.9134
93,0.96608,0.9128
94,0.96514,0.8913
95,0.96422,0.9194
96,0.96578,0.9177
97,0.96522,0.9234
98,0.96652,0.8954
99,0.96754,0.9182
100,0.96566,0.9207
101,0.9662,0.895
102,0.96434,0.9198
103,0.96668,0.907
104,0.96696,0.912
105,0.96562,0.9117
106,0.96728,0.9152
107,0.9651,0.9019
108,0.9676,0.9099
109,0.96788,0.9112
110,0.9663,0.9187
111,0.96818,0.9179
112,0.96908,0.9113
113,0.96768,0.9104
114,0.9685,0.9048
115,0.96716,0.9188
116,0.96808,0.9181
117,0.96688,0.9147
118,0.96822,0.9103
119,0.96904,0.916
120,0.971,0.9109
121,0.98818,0.9414
122,0.99426,0.9435
123,0.9952,0.9448
124,0.99552,0.9425
125,0.9963,0.9451
126,0.99764,0.945
127,0.99714,0.9472
128,0.9976,0.9487
129,0.99814,0.9486
130,0.99756,0.947
131,0.99804,0.9478
132,0.9981,0.9506
133,0.99822,0.9486
134,0.99804,0.9508
135,0.99818,0.9497
136,0.9983,0.9476
137,0.99864,0.9468
138,0.99834,0.9484
139,0.99822,0.949
140,0.99838,0.949
141,0.99884,0.9501
142,0.99872,0.9502
143,0.99886,0.9475
144,0.99858,0.9494
145,0.99868,0.9488
146,0.99832,0.9471
147,0.99878,0.9479
148,0.99838,0.9475
149,0.99868,0.9485
