dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_intensity_shapes
shape,square
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.24574,0.3615
1,0.39682,0.4543
2,0.47738,0.4987
3,0.55632,0.6009
4,0.62166,0.6137
5,0.66606,0.6952
6,0.7013,0.6301
7,0.73362,0.7388
8,0.75696,0.7414
9,0.7723,0.7345
10,0.78378,0.7851
11,0.7936,0.7635
12,0.80184,0.7532
13,0.80946,0.7629
14,0.8155,0.8094
15,0.82062,0.8045
16,0.82356,0.7935
17,0.82656,0.7947
18,0.82712,0.786
19,0.83216,0.8341
20,0.8357,0.8078
21,0.8386,0.8226
22,0.83988,0.788
23,0.83976,0.8339
24,0.84252,0.838
25,0.8436,0.7929
26,0.84622,0.8182
27,0.8487,0.8042
28,0.84926,0.8079
29,0.84844,0.8212
30,0.8517,0.7788
31,0.85136,0.8327
32,0.85326,0.8136
33,0.85322,0.8097
34,0.85324,0.8294
35,0.85392,0.8227
36,0.85338,0.8048
37,0.85556,0.8197
38,0.8568,0.8325
39,0.85578,0.8261
40,0.85676,0.7884
41,0.85758,0.8443
42,0.8612,0.8303
43,0.85926,0.827
44,0.86,0.847
45,0.85976,0.8198
46,0.86088,0.8439
47,0.86012,0.8298
48,0.8629,0.8364
49,0.86242,0.8339
50,0.86318,0.8225
51,0.86204,0.8348
52,0.8647,0.8445
53,0.86194,0.8242
54,0.86234,0.8493
55,0.86404,0.8381
56,0.86308,0.8404
57,0.86438,0.8024
58,0.8636,0.8379
59,0.86332,0.8549
60,0.86542,0.8249
61,0.9211,0.9156
62,0.93706,0.9194
63,0.9439,0.9247
64,0.94666,0.9241
65,0.95002,0.9274
66,0.95026,0.9225
67,0.95126,0.9102
68,0.95168,0.9207
69,0.95168,0.9139
70,0.95434,0.9191
71,0.95342,0.9139
72,0.95086,0.9127
73,0.9529,0.9049
74,0.95148,0.9191
75,0.95044,0.9154
76,0.949,0.9133
77,0.95072,0.9019
78,0.9509,0.9129
79,0.95234,0.9125
80,0.9496,0.907
81,0.95124,0.9083
82,0.9502,0.9024
83,0.95254,0.9117
84,0.95028,0.908
85,0.94788,0.9036
86,0.95068,0.9053
87,0.95128,0.9129
88,0.95304,0.9097
89,0.95184,0.9059
90,0.9522,0.9024
91,0.95212,0.9059
92,0.95204,0.908
93,0.95244,0.9095
94,0.95318,0.9095
95,0.95242,0.91
96,0.95386,0.9041
97,0.9518,0.9026
98,0.95388,0.916
99,0.9544,0.914
100,0.95438,0.9093
101,0.95554,0.9122
102,0.95214,0.9046
103,0.95358,0.905
104,0.9554,0.9132
105,0.9562,0.9134
106,0.95474,0.9058
107,0.95418,0.9039
108,0.95744,0.9147
109,0.95628,0.9113
110,0.9544,0.9158
111,0.95626,0.9065
112,0.95576,0.906
113,0.95774,0.9109
114,0.95882,0.9018
115,0.95426,0.9085
116,0.95708,0.9012
117,0.95674,0.9148
118,0.95674,0.9111
119,0.95742,0.9035
120,0.95548,0.9129
121,0.98118,0.9393
122,0.989,0.9417
123,0.99096,0.9392
124,0.99192,0.9399
125,0.99332,0.9415
126,0.99326,0.9409
127,0.99388,0.9437
128,0.99536,0.9431
129,0.9945,0.9417
130,0.9947,0.9451
131,0.99506,0.943
132,0.99514,0.9423
133,0.99564,0.9431
134,0.99572,0.9427
135,0.9959,0.9426
136,0.99644,0.9416
137,0.99616,0.9441
138,0.99622,0.9447
139,0.99668,0.9421
140,0.99594,0.942
141,0.99616,0.9417
142,0.99704,0.944
143,0.99696,0.9426
144,0.997,0.9423
145,0.99632,0.9426
146,0.99708,0.9437
147,0.9964,0.9454
148,0.99642,0.9445
149,0.99658,0.9447
