dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_intensity_shapes
shape,triangle
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.28494,0.4075
1,0.42394,0.461
2,0.51338,0.5408
3,0.59616,0.6057
4,0.66932,0.6816
5,0.73184,0.7284
6,0.76874,0.7634
7,0.79036,0.7845
8,0.80688,0.7622
9,0.81686,0.8049
10,0.82494,0.7642
11,0.83076,0.6675
12,0.83672,0.8139
13,0.8417,0.7921
14,0.8466,0.7498
15,0.85082,0.8102
16,0.85226,0.8285
17,0.85446,0.826
18,0.85562,0.7814
19,0.8577,0.8365
20,0.86126,0.8165
21,0.8646,0.8119
22,0.86338,0.7772
23,0.8671,0.8463
24,0.86782,0.8404
25,0.8689,0.8253
26,0.87104,0.7828
27,0.8725,0.841
28,0.87296,0.7745
29,0.87312,0.8419
30,0.87344,0.7935
31,0.877,0.8301
32,0.87582,0.822
33,0.8771,0.8539
34,0.8792,0.8023
35,0.87538,0.8243
36,0.87736,0.8263
37,0.87898,0.8157
38,0.87862,0.8423
39,0.87924,0.7806
40,0.8774,0.7966
41,0.88008,0.8437
42,0.884,0.8498
43,0.88166,0.8453
44,0.8818,0.8385
45,0.88212,0.836
46,0.8837,0.8187
47,0.88446,0.8281
48,0.88378,0.8437
49,0.88344,0.8647
50,0.8861,0.8399
51,0.88356,0.8036
52,0.88564,0.82
53,0.88508,0.8491
54,0.88714,0.8485
55,0.88448,0.8493
56,0.88644,0.8266
57,0.88652,0.8246
58,0.88532,0.833
59,0.88474,0.8471
60,0.8862,0.8401
61,0.93876,0.9219
62,0.95404,0.9266
63,0.95824,0.9255
64,0.96212,0.9257
65,0.96474,0.9286
66,0.9657,0.9224
67,0.96762,0.9238
68,0.96718,0.9209
69,0.96878,0.9206
70,0.96666,0.9161
71,0.96598,0.9165
72,0.96642,0.9129
73,0.96572,0.9201
74,0.96634,0.9132
75,0.96454,0.9158
76,0.96282,0.9176
77,0.96308,0.915
78,0.96216,0.916
79,0.96458,0.9126
80,0.96328,0.9203
81,0.9637,0.9144
82,0.9637,0.91
83,0.96438,0.9157
84,0.96458,0.9116
85,0.9596,0.9113
86,0.9641,0.913
87,0.96506,0.9054
88,0.96336,0.9037
89,0.96404,0.9121
90,0.96196,0.9021
91,0.96356,0.9111
92,0.9655,0.9109
93,0.96746,0.9115
94,0.9653,0.9087
95,0.9649,0.9146
96,0.96662,0.9155
97,0.96558,0.9101
98,0.96606,0.9132
99,0.9662,0.911
100,0.96646,0.9093
101,0.96922,0.9108
102,0.96438,0.9095
103,0.96606,0.921
104,0.96754,0.914
105,0.9658,0.9158
106,0.96736,0.916
107,0.96734,0.9078
108,0.96718,0.9205
109,0.96686,0.9086
110,0.9672,0.9115
111,0.96764,0.9112
112,0.96848,0.9039
113,0.9688,0.9162
114,0.96738,0.9124
115,0.96672,0.9119
116,0.96842,0.9199
117,0.97012,0.9105
118,0.9695,0.9193
119,0.968,0.9101
120,0.97018,0.9065
121,0.98894,0.9413
122,0.99484,0.9446
123,0.99612,0.9451
124,0.99622,0.947
125,0.997,0.9481
126,0.9974,0.9483
127,0.99724,0.9491
128,0.9979,0.9496
129,0.99806,0.95
130,0.9982,0.949
131,0.99842,0.9496
132,0.99842,0.9503
133,0.99862,0.9487
134,0.99884,0.9494
135,0.9985,0.9496
136,0.9988,0.9515
137,0.99894,0.9525
138,0.9986,0.9519
139,0.99892,0.952
140,0.99878,0.9509
141,0.99908,0.9526
142,0.99884,0.9522
143,0.99892,0.9531
144,0.99914,0.9511
145,0.99908,0.952
146,0.99902,0.9524
147,0.99918,0.9522
148,0.99914,0.9519
149,0.99916,0.9497
