dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_Shape
shape,square
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.2231,0.3351
1,0.36048,0.4446
2,0.4387,0.5151
3,0.50552,0.5669
4,0.5572,0.5828
5,0.59772,0.6717
6,0.62816,0.6938
7,0.65916,0.7027
8,0.68962,0.7234
9,0.70672,0.7165
10,0.725,0.7326
11,0.7366,0.7252
12,0.74706,0.7284
13,0.75478,0.791
14,0.76108,0.7928
15,0.7662,0.8
16,0.77466,0.7947
17,0.776,0.7852
18,0.77974,0.7508
19,0.7821,0.754
20,0.78552,0.8007
21,0.78788,0.8082
22,0.78942,0.7619
23,0.78998,0.7854
24,0.7927,0.7908
25,0.79536,0.8209
26,0.79808,0.8251
27,0.79906,0.8282
28,0.79992,0.7784
29,0.80266,0.8175
30,0.80088,0.8026
31,0.80462,0.8145
32,0.8043,0.8262
33,0.80422,0.8457
34,0.80652,0.8386
35,0.80868,0.8126
36,0.80812,0.7865
37,0.80898,0.8243
38,0.80988,0.8265
39,0.80994,0.8228
40,0.81206,0.8389
41,0.81336,0.798
42,0.81364,0.8278
43,0.81272,0.8227
44,0.81266,0.8217
45,0.81586,0.8089
46,0.81422,0.821
47,0.81554,0.8318
48,0.8135,0.8234
49,0.81718,0.7969
50,0.81482,0.8334
51,0.81794,0.8243
52,0.8163,0.7948
53,0.8179,0.8495
54,0.81744,0.8046
55,0.81762,0.8314
56,0.81842,0.8043
57,0.82008,0.806
58,0.81924,0.8207
59,0.82012,0.8443
60,0.8199,0.8039
61,0.88172,0.9173
62,0.89686,0.918
63,0.9042,0.9224
64,0.90858,0.9227
65,0.91014,0.9247
66,0.91242,0.9156
67,0.9129,0.918
68,0.91578,0.913
69,0.91688,0.9096
70,0.91466,0.9192
71,0.91568,0.9176
72,0.91708,0.9144
73,0.91608,0.9076
74,0.91398,0.9098
75,0.9156,0.9148
76,0.91312,0.9102
77,0.9146,0.9067
78,0.91368,0.9123
79,0.91496,0.9049
80,0.9171,0.9131
81,0.91492,0.8991
82,0.91584,0.9128
83,0.91542,0.9107
84,0.91918,0.8973
85,0.91536,0.9076
86,0.918,0.9071
87,0.91708,0.9083
88,0.91738,0.9106
89,0.9155,0.9059
90,0.92008,0.9088
91,0.9223,0.9038
92,0.91824,0.9111
93,0.917,0.9096
94,0.91778,0.9058
95,0.9217,0.9054
96,0.92092,0.9159
97,0.9209,0.914
98,0.9222,0.9092
99,0.92098,0.9126
100,0.92404,0.9097
101,0.9226,0.9097
102,0.92298,0.908
103,0.9236,0.925
104,0.92604,0.9126
105,0.92296,0.9079
106,0.9229,0.9089
107,0.92446,0.912
108,0.92264,0.9096
109,0.92266,0.9116
110,0.92344,0.9116
111,0.92674,0.9026
112,0.92676,0.9165
113,0.92404,0.9106
114,0.92832,0.9056
115,0.92574,0.8994
116,0.92682,0.9159
117,0.92628,0.9098
118,0.92528,0.9126
119,0.92934,0.9087
120,0.92822,0.9065
121,0.95698,0.9355
122,0.9674,0.9395
123,0.97052,0.9406
124,0.97298,0.9407
125,0.97428,0.9424
126,0.9738,0.9409
127,0.97644,0.9416
128,0.97648,0.9412
129,0.97766,0.9417
130,0.97762,0.9428
131,0.97852,0.9408
132,0.97836,0.9433
133,0.97776,0.9416
134,0.97834,0.9415
135,0.9797,0.939
136,0.97886,0.9433
137,0.97922,0.9403
138,0.9793,0.9424
139,0.98098,0.9423
140,0.98044,0.937
141,0.98092,0.943
142,0.98198,0.9412
143,0.98048,0.9428
144,0.98118,0.941
145,0.98026,0.9371
146,0.9814,0.9391
147,0.98152,0.9391
148,0.98072,0.943
149,0.98154,0.9419
