dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_Shape
shape,square
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.2384,0.3446
1,0.35956,0.4443
2,0.44966,0.569
3,0.53292,0.6106
4,0.59232,0.6752
5,0.64622,0.699
6,0.6865,0.6943
7,0.7054,0.727
8,0.72426,0.7454
9,0.73682,0.7482
10,0.74772,0.7735
11,0.7542,0.7017
12,0.76196,0.7919
13,0.76752,0.7803
14,0.77398,0.7998
15,0.77738,0.7924
16,0.77796,0.8124
17,0.78644,0.7831
18,0.78926,0.7523
19,0.79036,0.8068
20,0.7921,0.8352
21,0.79702,0.755
22,0.79638,0.8247
23,0.80164,0.7336
24,0.80054,0.7686
25,0.80222,0.8323
26,0.80488,0.8234
27,0.80582,0.8397
28,0.80488,0.7883
29,0.80538,0.8156
30,0.80604,0.8281
31,0.81014,0.8084
32,0.8089,0.8258
33,0.81406,0.7907
34,0.81324,0.7887
35,0.8122,0.8609
36,0.81596,0.8311
37,0.81412,0.8048
38,0.81602,0.8349
39,0.81398,0.8511
40,0.81602,0.8323
41,0.8159,0.851
42,0.81926,0.8073
43,0.81962,0.8299
44,0.81776,0.8012
45,0.81972,0.8338
46,0.82012,0.829
47,0.81766,0.823
48,0.81928,0.8239
49,0.82002,0.8449
50,0.82116,0.8539
51,0.82126,0.786
52,0.8228,0.8084
53,0.81932,0.8227
54,0.82088,0.8233
55,0.82424,0.8337
56,0.82256,0.7341
57,0.82242,0.8049
58,0.82172,0.8451
59,0.8239,0.8373
60,0.8229,0.8361
61,0.88436,0.9127
62,0.90152,0.9221
63,0.91006,0.9185
64,0.91314,0.9207
65,0.91552,0.9224
66,0.91876,0.9158
67,0.91742,0.9221
68,0.91958,0.9205
69,0.91926,0.9139
70,0.91848,0.9137
71,0.92006,0.9105
72,0.91936,0.915
73,0.91876,0.9026
74,0.91936,0.9084
75,0.92186,0.916
76,0.9171,0.9013
77,0.91666,0.9136
78,0.9165,0.9116
79,0.91786,0.9071
80,0.91794,0.909
81,0.91996,0.9052
82,0.91992,0.9104
83,0.9193,0.9152
84,0.9187,0.9129
85,0.9189,0.9087
86,0.9221,0.9155
87,0.91852,0.9067
88,0.91972,0.9088
89,0.9213,0.9132
90,0.92078,0.9125
91,0.92526,0.9124
92,0.9211,0.9031
93,0.9236,0.911
94,0.92152,0.9105
95,0.92394,0.9158
96,0.92348,0.9136
97,0.9233,0.9126
98,0.92206,0.9195
99,0.92272,0.9032
100,0.92502,0.9182
101,0.92684,0.9131
102,0.92612,0.9066
103,0.92456,0.9209
104,0.92598,0.9113
105,0.9267,0.924
106,0.92596,0.9107
107,0.92266,0.915
108,0.92832,0.9189
109,0.92566,0.9115
110,0.92602,0.9052
111,0.92674,0.9166
112,0.92652,0.9133
113,0.92568,0.8946
114,0.92728,0.9191
115,0.92648,0.9101
116,0.92646,0.9038
117,0.9277,0.9037
118,0.9277,0.918
119,0.9296,0.915
120,0.92838,0.9034
121,0.95876,0.9384
122,0.96672,0.9406
123,0.97096,0.9431
124,0.97182,0.9429
125,0.9749,0.9428
126,0.97576,0.9437
127,0.97636,0.9443
128,0.97652,0.9428
129,0.97828,0.9432
130,0.97892,0.9443
131,0.9784,0.9435
132,0.97876,0.9454
133,0.97752,0.9432
134,0.97908,0.9423
135,0.9786,0.9437
136,0.98134,0.9439
137,0.98064,0.9431
138,0.98136,0.9443
139,0.9792,0.9438
140,0.97992,0.9423
141,0.98062,0.9436
142,0.98132,0.9428
143,0.98112,0.9429
144,0.98174,0.9418
145,0.98048,0.9415
146,0.9799,0.9444
147,0.98242,0.9416
148,0.98176,0.9433
149,0.9814,0.9427
