dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_Shape
shape,square
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.21916,0.3322
1,0.32952,0.4208
2,0.389,0.4642
3,0.4575,0.5738
4,0.52112,0.5257
5,0.56422,0.6247
6,0.59446,0.6867
7,0.62646,0.6772
8,0.65256,0.7047
9,0.67742,0.704
10,0.69466,0.7137
11,0.70762,0.7667
12,0.718,0.7755
13,0.72616,0.7522
14,0.7306,0.7882
15,0.7376,0.7417
16,0.74256,0.774
17,0.74748,0.7457
18,0.7509,0.7969
19,0.75196,0.7843
20,0.75718,0.8127
21,0.75744,0.7373
22,0.7597,0.7826
23,0.76124,0.7857
24,0.76712,0.797
25,0.7683,0.8224
26,0.77086,0.8212
27,0.77304,0.8036
28,0.7727,0.7537
29,0.77466,0.7787
30,0.77214,0.8115
31,0.77708,0.8371
32,0.77552,0.8466
33,0.7789,0.8151
34,0.77934,0.8116
35,0.7819,0.8228
36,0.77968,0.7586
37,0.77908,0.8174
38,0.78434,0.7923
39,0.78392,0.7921
40,0.7838,0.8039
41,0.78374,0.817
42,0.78564,0.8142
43,0.78664,0.7974
44,0.78746,0.8061
45,0.78808,0.8088
46,0.78758,0.8202
47,0.789,0.8087
48,0.78758,0.8241
49,0.7891,0.8417
50,0.78936,0.8344
51,0.78912,0.8079
52,0.78928,0.8333
53,0.79098,0.8243
54,0.78984,0.8273
55,0.79366,0.8194
56,0.79266,0.8347
57,0.79506,0.8364
58,0.79136,0.823
59,0.79416,0.8306
60,0.79404,0.8388
61,0.85798,0.9088
62,0.87444,0.9104
63,0.88314,0.9136
64,0.8847,0.92
65,0.88866,0.9126
66,0.88926,0.9127
67,0.88914,0.914
68,0.89148,0.9104
69,0.8916,0.9158
70,0.89196,0.9094
71,0.8932,0.9165
72,0.89522,0.9168
73,0.89284,0.911
74,0.89334,0.902
75,0.8936,0.9062
76,0.8946,0.9036
77,0.89242,0.9087
78,0.89508,0.9101
79,0.89374,0.9074
80,0.89418,0.9179
81,0.89444,0.9032
82,0.89324,0.9166
83,0.89396,0.9109
84,0.89716,0.8987
85,0.8935,0.9
86,0.89538,0.9095
87,0.89788,0.9138
88,0.89844,0.898
89,0.89552,0.9144
90,0.89726,0.9106
91,0.89618,0.905
92,0.89756,0.9039
93,0.8985,0.9108
94,0.90012,0.9074
95,0.89768,0.9101
96,0.89992,0.911
97,0.89922,0.9047
98,0.90162,0.9092
99,0.9011,0.9161
100,0.90404,0.9012
101,0.90312,0.9016
102,0.90374,0.9128
103,0.90544,0.9116
104,0.90532,0.9099
105,0.90158,0.9153
106,0.90258,0.9061
107,0.9026,0.9047
108,0.90624,0.9075
109,0.90492,0.917
110,0.90212,0.9064
111,0.90612,0.9072
112,0.90654,0.9074
113,0.90548,0.9096
114,0.90514,0.9122
115,0.90568,0.9075
116,0.90668,0.901
117,0.906,0.906
118,0.90772,0.9101
119,0.90896,0.9112
120,0.90668,0.9078
121,0.9411,0.9397
122,0.95086,0.9386
123,0.9556,0.9418
124,0.95808,0.9441
125,0.96,0.9413
126,0.96154,0.9416
127,0.96118,0.9439
128,0.96448,0.941
129,0.96338,0.9411
130,0.96646,0.9426
131,0.96598,0.9416
132,0.96608,0.9428
133,0.96712,0.9413
134,0.96652,0.9422
135,0.96856,0.9437
136,0.96856,0.9409
137,0.9696,0.9394
138,0.96884,0.9429
139,0.96946,0.9438
140,0.96902,0.9413
141,0.96976,0.9443
142,0.97106,0.9422
143,0.9714,0.9407
144,0.97002,0.9469
145,0.96894,0.9409
146,0.9713,0.9416
147,0.9722,0.9445
148,0.97236,0.9407
149,0.97156,0.9419
