dataset,cifar10
model,resnet18
batch_size,128
epochs,150
learning_rate,0.1
data_augmentation,True
cutout,Cutout_Shape
shape,square
n_holes,1
length,16
no_cuda,False
seed,0
cuda,True
""
epoch,train_acc,test_acc
0,0.24344,0.3471
1,0.35886,0.4504
2,0.44096,0.547
3,0.51476,0.5603
4,0.5712,0.6574
5,0.61714,0.706
6,0.6598,0.7244
7,0.6909,0.7478
8,0.7115,0.7329
9,0.72814,0.7389
10,0.73758,0.766
11,0.74606,0.7212
12,0.7491,0.7399
13,0.7591,0.7552
14,0.76372,0.7823
15,0.76806,0.799
16,0.77012,0.8252
17,0.7756,0.7935
18,0.77802,0.8084
19,0.78006,0.7604
20,0.7821,0.8291
21,0.7853,0.7996
22,0.78764,0.8353
23,0.79114,0.7986
24,0.79148,0.8017
25,0.79124,0.7891
26,0.79614,0.8157
27,0.79468,0.8135
28,0.79666,0.7518
29,0.7973,0.7972
30,0.79918,0.8343
31,0.80286,0.8445
32,0.80276,0.818
33,0.8021,0.7984
34,0.80414,0.8293
35,0.80462,0.8246
36,0.80548,0.7914
37,0.80384,0.8251
38,0.80476,0.8223
39,0.80632,0.8393
40,0.8084,0.8331
41,0.80582,0.8319
42,0.80622,0.7765
43,0.80728,0.8444
44,0.80656,0.8212
45,0.81258,0.8287
46,0.81118,0.8236
47,0.80876,0.8565
48,0.8115,0.8356
49,0.81038,0.8294
50,0.81172,0.7974
51,0.8095,0.8165
52,0.81252,0.7865
53,0.8097,0.8434
54,0.81052,0.8262
55,0.8147,0.8464
56,0.81366,0.8064
57,0.8169,0.8411
58,0.81424,0.8495
59,0.81456,0.8107
60,0.81348,0.8335
61,0.87282,0.9144
62,0.8889,0.9228
63,0.89478,0.926
64,0.89858,0.9254
65,0.89962,0.9283
66,0.90096,0.9159
67,0.90018,0.9161
68,0.90196,0.9247
69,0.90334,0.924
70,0.90408,0.9228
71,0.90344,0.9003
72,0.90288,0.9193
73,0.9023,0.9189
74,0.9021,0.9085
75,0.90324,0.9209
76,0.90014,0.9122
77,0.90226,0.9084
78,0.90372,0.9189
79,0.9001,0.9239
80,0.9022,0.9172
81,0.90428,0.9067
82,0.90206,0.9249
83,0.903,0.9135
84,0.90418,0.9059
85,0.9023,0.9074
86,0.90688,0.9211
87,0.90226,0.9006
88,0.90446,0.9188
89,0.90362,0.9191
90,0.90412,0.9049
91,0.90676,0.9128
92,0.90418,0.9134
93,0.90716,0.924
94,0.90716,0.9193
95,0.906,0.9227
96,0.90688,0.9212
97,0.90668,0.9243
98,0.90558,0.9087
99,0.90616,0.9262
100,0.90824,0.9261
101,0.9088,0.917
102,0.9091,0.9116
103,0.90736,0.9201
104,0.90992,0.9217
105,0.9092,0.9246
106,0.90952,0.9105
107,0.90964,0.9218
108,0.90884,0.9121
109,0.91052,0.9228
110,0.9102,0.9256
111,0.91156,0.9204
112,0.91138,0.9096
113,0.91094,0.9162
114,0.9112,0.9228
115,0.91248,0.9099
116,0.91056,0.9157
117,0.90994,0.924
118,0.91356,0.9115
119,0.9155,0.9169
120,0.91098,0.9226
121,0.94222,0.9472
122,0.95094,0.9488
123,0.95608,0.9524
124,0.95596,0.9507
125,0.95828,0.9509
126,0.96036,0.9529
127,0.96086,0.9538
128,0.96076,0.9529
129,0.96338,0.9536
130,0.96404,0.9532
131,0.96556,0.9545
132,0.96464,0.9548
133,0.96658,0.9507
134,0.9653,0.9532
135,0.9662,0.9514
136,0.96558,0.9518
137,0.96664,0.9529
138,0.96694,0.955
139,0.96768,0.955
140,0.96846,0.9539
141,0.96818,0.9517
142,0.96758,0.9526
143,0.9695,0.9548
144,0.9697,0.9529
145,0.96818,0.954
146,0.9676,0.9539
147,0.9706,0.9541
148,0.96854,0.9512
149,0.96912,0.9535
